label,fiscal_year,period_end,net_revenue,cost_of_sales,gross_profit,gross_margin_pct,sga_expense,operating_income,operating_margin_pct,net_income,diluted_eps,total_assets,total_inventory,total_debt,cash_and_equivalents,shareholders_equity,operating_cash_flow,capex,free_cash_flow,comparable_sales_change,total_stores,revenue_per_store,units
FY2015,2015,2016-01-30,3521848.0,63.0,1302734.0,36.99,23.7,319878.0,9.08,6.2,,1612246.0,9659.0,,260067.0,1051376.0,341918.0,153256.0,188662.0,7.0,1047.0,3363.8,thousands_usd
FY2016,2016,2017-01-28,3609865.0,62.1,1366927.0,37.87,23.8,331476.0,9.18,5.9,,1782660.0,10693.0,,378613.0,1204569.0,365596.0,161494.0,204102.0,3.0,1050.0,3438.0,thousands_usd
FY2017,2017,2018-02-03,3795549.0,63.9,1370505.0,36.11,23.2,302788.0,7.98,1.13,,1816313.0,8900.0,,413613.0,1246791.0,394426.0,169469.0,224957.0,4.0,1047.0,3625.2,thousands_usd
FY2018,2018,2019-02-02,4035720.0,63.1,1487638.0,36.86,24.3,337129.0,8.35,1.47,,1903378.0,9276.0,,333330.0,1287555.0,456645.0,189021.0,267624.0,8.0,1055.0,3825.3,thousands_usd
FY2019,2019,2020-02-01,4308212.0,2785911.0,1522301.0,35.33,1029412.0,233345.0,5.42,191257.0,1.12,3328679.0,446278.0,,361930.0,1247853.0,415416.0,210360.0,205056.0,3.0,1000.0,4308.2,thousands_usd
FY2020,2020,2021-01-30,3759113.0,2610966.0,1148147.0,30.54,977264.0,-271345.0,-7.22,-209274.0,-1.26,3434806.0,405445.0,325290.0,850477.0,1086665.0,202498.0,127975.0,74523.0,,1000.0,3759.1,thousands_usd
FY2021,2021,2022-01-29,5010785.0,3018995.0,1991790.0,39.75,1222000.0,591065.0,11.8,419629.0,2.03,3786643.0,553458.0,,434770.0,1423672.0,303671.0,233847.0,69824.0,,1000.0,5010.8,thousands_usd
FY2022,2022,2023-01-28,4989833.0,3244585.0,1745248.0,34.98,1269095.0,247047.0,4.95,125136.0,0.64,3420956.0,585083.0,,170209.0,1599163.0,406296.0,260378.0,145918.0,7.0,1100.0,4536.2,thousands_usd
FY2023,2023,2024-02-03,5261770.0,3237192.0,2024578.0,38.48,1433300.0,222717.0,4.23,170038.0,0.86,3557909.0,640662.0,,354094.0,1736759.0,580710.0,174437.0,406273.0,3.0,1500.0,3507.8,thousands_usd
FY2024,2024,2025-02-01,5328652.0,3239719.0,2088933.0,39.2,1431814.0,427303.0,8.02,329380.0,1.68,3830775.0,636655.0,,308962.0,1766860.0,476798.0,222538.0,254260.0,4.0,1500.0,3552.4,thousands_usd
